ID,Word, Alternative, Definition
0,a,kin,"PARTICLE (emphasis, emotion, or confirmation)"
1,akesi,,"NOUN non-cute animal; reptile, amphibian"
2,ala,,"ADJECTIVE no, not, zero"
3,alasa,,"VERB to hunt, forage"
4,ale,ali,"ADJECTIVE all; abundant, countless, bountiful, every, plentiful NOUN abundance, everything, life, universe NUMBER 100"
5,anpa,,"ADJECTIVE bowing down, downward, humble, lowly, dependent"
6,ante,,"ADJECTIVE different, altered, changed, other"
7,anu,,"PARTICLE or"
8,awen,,"ADJECTIVE enduring, kept, protected, safe, waiting, staying PRE-VERB to continue to"
9,e,,PARTICLE (before the direct object)
10,en,,PARTICLE (between multiple subjects)
11,esun,,"NOUN market, shop, fair, bazaar, business transaction"
12,ijo,,"NOUN thing, phenomenon, object, matter"
13,ike,,"ADJECTIVE bad, negative; non-essential, irrelevant"
14,ilo,,"NOUN tool, implement, machine, device"
15,insa,,"NOUN centre, content, inside, between; internal organ, stomach"
16,jaki,,"ADJECTIVE disgusting, obscene, sickly, toxic, unclean, unsanitary"
17,jan,,"NOUN human being, person, somebody"
18,jelo,,"ADJECTIVE yellow, yellowish"
19,jo,,"VERB to have, carry, contain, hold"
20,kala,,"NOUN fish, marine animal, sea creature"
21,kalama,,"VERB to produce a sound; recite, utter aloud"
22,kama,,"ADJECTIVE arriving, coming, future, summoned PRE-VERB to become, manage to, succeed in"
23,kasi,,"NOUN plant, vegetation, herb, leaf"
24,ken,,"PRE-VERB to be able to, be allowed to, can, may ADJECTIVE possible"
25,kepeken,,"PREPOSITION to use, with, by means of"
26,kili,,"NOUN fruit, vegetable, mushroom"
27,kiwen,,"NOUN hard object, metal, rock, stone"
28,ko,,"NOUN clay, clinging form, dough, semi-solid, paste, powder"
29,kon,,"NOUN air, breath; essence, spirit; hidden reality, unseen agent"
30,kule,,"ADJECTIVE colourful, pigmented, painted"
31,kulupu,,"NOUN community, company, group, nation, society, tribe"
32,kute,,"NOUN ear VERB to hear, listen; pay attention to, obey"
33,la,,"PARTICLE (between the context phrase and the main sentence)"
34,lape,,"ADJECTIVE sleeping, resting"
35,laso,,"ADJECTIVE blue, green"
36,lawa,,"NOUN head, mind VERB to control, direct, guide, lead, own, plan, regulate, rule"
37,len,,"NOUN cloth, clothing, fabric, textile; cover, layer of privacy"
38,lete,,"ADJECTIVE cold, cool; uncooked, raw"
39,li,,"PARTICLE (between any subject except 'mi' alone or 'sina' alone and its verb; also to introduce a new verb for the same subject)"
40,lili,,"ADJECTIVE little, small, short; few; a bit; young"
41,linja,,"NOUN long and flexible thing; cord, hair, rope, thread, yarn"
42,lipu,,"NOUN flat object; book, document, card, paper, record, website"
43,loje,,"ADJECTIVE red, reddish"
44,lon,,"PREPOSITION located at, present at, real, true, existing"
45,luka,,"NOUN arm, hand, tactile organ NUMBER five"
46,lukin,oko,"NOUN eye VERB to look at, see, examine, observe, read, watch PRE-VERB to seek, look for, try to"
47,lupa,,"NOUN door, hole, orifice, window"
48,ma,,"NOUN earth, land; outdoors, world; country, territory; soil"
49,mama,,"NOUN parent, ancestor; creator, originator; caretaker, sustainer"
50,mani,,"NOUN money, cash, savings, wealth; large domesticated animal"
51,meli,,"NOUN woman, female, feminine person; wife"
52,mi,,"NOUN I, me, we, us"
53,mije,,"NOUN man, male, masculine person; husband"
54,moku,,"VERB to eat, drink, consume, swallow, ingest"
55,moli,,"ADJECTIVE dead, dying"
56,monsi,,"NOUN back, behind, rear"
57,mu,,"PARTICLE (animal noise or communication)"
58,mun,,"NOUN moon, night sky object, star"
59,musi,,"ADJECTIVE artistic, entertaining, frivolous, playful, recreational"
60,mute,,"ADJECTIVE many, a lot, more, much, several, very NOUN quantity"
61,nanpa,,"PARTICLE -th (ordinal number) NOUN numbers"
62,nasa,,"ADJECTIVE unusual, strange; foolish, crazy; drunk, intoxicated"
63,nasin,,"NOUN way, custom, doctrine, method, path, road"
64,nena,,"NOUN bump, button, hill, mountain, nose, protuberance"
65,ni,,"ADJECTIVE that, this"
66,nimi,,"NOUN name, word"
67,noka,,"NOUN foot, leg, organ of locomotion; bottom, lower part"
68,o,,"PARTICLE hey! O! (vocative or imperative)"
69,olin,,"VERB to love, have compassion for, respect, show affection to"
70,ona,,"NOUN he, she, it, they"
71,open,,"VERB to begin, start; open; turn on"
72,pakala,,"ADJECTIVE botched, broken, damaged, harmed, messed up"
73,pali,,"VERB to do, take action on, work on; build, make, prepare"
74,palisa,,"NOUN long hard thing; branch, rod, stick"
75,pan,,"NOUN cereal, grain; barley, corn, oat, rice, wheat; bread, pasta"
76,pana,,"VERB to give, send, emit, provide, put, release"
77,pi,,"PARTICLE of"
78,pilin,,"NOUN heart (physical or emotional) ADJECTIVE feeling (an emotion, a direct experience)"
79,pimeja,,"ADJECTIVE black, dark, unlit"
80,pini,,"ADJECTIVE ago, completed, ended, finished, past"
81,pipi,,"NOUN bug, insect, ant, spider"
82,poka,,"NOUN hip, side; next to, nearby, vicinity"
83,poki,,"NOUN container, bag, bowl, box, cup, cupboard, drawer, vessel"
84,pona,,"ADJECTIVE good, positive, useful; friendly, peaceful; simple"
85,pu,,"ADJECTIVE interacting with the official Toki Pona book"
86,sama,,"ADJECTIVE same, similar; each other; sibling, peer, fellow PREPOSITION as, like"
87,seli,,"ADJECTIVE fire; cooking element, chemical reaction, heat source"
88,selo,,"NOUN outer form, outer layer; bark, peel, shell, skin; boundary"
89,seme,,"PARTICLE what? which?"
90,sewi,,"NOUN area above, highest part, something elevated ADJECTIVE awe-inspiring, divine, sacred, supernatural"
91,sijelo,,"NOUN body (of person or animal), physical state, torso"
92,sike,,"NOUN round or circular thing; ball, circle, cycle, sphere, wheel ADJECTIVE of one year"
93,sin,namako,"new, fresh; additional, another, extra"
94,sina,,NOUN you
95,sinpin,,"NOUN face, foremost, front, wall"
96,sitelen,,"NOUN image, picture, representation, symbol, mark, writing"
97,sona,,"VERB to know, be skilled in, be wise about, have information on PRE-VERB to know how to"
98,soweli,,"NOUN animal, beast, land mammal"
99,suli,,"ADJECTIVE big, heavy, large, long, tall; important; adult"
100,suno,,"NOUN sun; light, brightness, glow, radiance, shine; light source"
101,supa,,"NOUN horizontal surface, thing to put or rest something on"
102,suwi,,"ADJECTIVE sweet, fragrant; cute, innocent, adorable"
103,tan,,"PREPOSITION by, from, because of"
104,taso,,"PARTICLE but, however ADJECTIVE only"
105,tawa,,"PREPOSITION going to, toward; for; from the perspective of ADJECTIVE moving"
106,telo,,"NOUN water, liquid, fluid, wet substance; beverage"
107,tenpo,,"NOUN time, duration, moment, occation, period, situation"
108,toki,,"VERB to communicate, say, speak, say, talk, use language, think"
109,tomo,,"NOUN indoor space; building, home, house, room"
110,tu,,"NUMBER two"
111,unpa,,"VERB to have sexual or marital relations with"
112,uta,,"NOUN mouth, lips, oral cavity, jaw"
113,utala,,"VERB to battle, challenge, compete against, struggle against"
114,walo,,"ADJECTIVE white, whitish; light-coloured, pale"
115,wan,,"ADJECTIVE unique, united NUMBER one"
116,waso,,"NOUN bird, flying creature, winged animal"
117,wawa,,"ADJECTIVE strong, powerful; confident, sure; energetic, intense"
118,weka,,"ADJECTIVE absent, away, ignored"
119,wile,,"PRE-VERB must, need, require, should, want, wish"
